Country Name,GDP per capita
Aruba,
Afghanistan,520.8966027
Angola,3432.385736
Albania,5268.848504
Andorra,42029.76274
Arab World,6608.806978
United Arab Emirates,43004.95336
Argentina,11683.94962
Armenia,4212.070943
American Samoa,11466.69071
Antigua and Barbuda,16726.98081
Australia,57373.68668
Austria,51461.95478
Azerbaijan,4721.178087
Burundi,271.7520444
Belgium,47518.63604
Benin,901.5438712
Burkina Faso,715.122904
Bangladesh,1698.262802
Bulgaria,9272.629304
Bahrain,24050.75751
Bahamas,32217.87159
Bosnia and Herzegovina,6065.672708
Belarus,6289.938553
Belize,4884.742421
Bermuda,
Bolivia,3548.59014
Brazil,8920.762105
Barbados,17949.28151
Brunei,31628.32879
Bhutan,3243.231125
Botswana,8258.641666
Central African Republic,475.7212505
Canada,46232.98962
Central Europe and the Baltics,15929.00406
Switzerland,82796.54716
Channel Islands,
Chile,15923.35874
China,9770.847088
Cote d'Ivoire,1715.531332
Cameroon,1533.74214
Congo (Kinshasa),561.7771824
Congo (Brazzaville),2147.769461
Colombia,6667.7907
Comoros,1415.263622
Cabo Verde,3635.40685
Costa Rica,12027.36588
Caribbean small states,9991.016149
Cuba,8821.818891
Curacao,19567.89244
Cayman Islands,
Cyprus,28159.3017
Czechia,23078.57349
Germany,47603.02763
Djibouti,3082.543099
Dominica,7691.345097
Denmark,61350.34791
Dominican Republic,8050.631602
Algeria,4114.715061
East Asia & Pacific (excluding high income),7822.854804
Early-demographic dividend,3581.89016
East Asia & Pacific,11142.59123
Europe & Central Asia (excluding high income),8163.517105
Europe & Central Asia,25107.27442
Ecuador,6344.871979
Egypt,2549.132252
Euro area,39927.61759
Eritrea,
Spain,30370.89233
Estonia,23266.34627
Ethiopia,772.3135303
European Union,36569.73382
Fragile and conflict affected situations,1633.16564
Finland,50152.34014
Fiji,6266.967965
France,41463.64402
Faroe Islands,
"Micronesia, Fed. Sts.",3568.290829
Gabon,7952.525893
United Kingdom,42943.90227
Georgia,4717.143026
Ghana,2202.312164
Gibraltar,
Guinea,878.5996133
Gambia,716.118489
Guinea-Bissau,777.9699218
Equatorial Guinea,10261.76001
Greece,20324.25356
Grenada,10640.49676
Greenland,
Guatemala,4549.010081
Guam,35712.56214
Guyana,4979.002188
High income,44786.57966
"Hong Kong SAR, China",48675.61646
Honduras,2500.113213
Heavily indebted poor countries (HIPC),934.6137458
Croatia,14909.69319
Haiti,868.3420247
Hungary,16161.98051
IBRD only,6385.461626
IDA & IBRD total,5098.525112
IDA total,1359.233735
IDA blend,1787.9152
Indonesia,3893.596078
IDA only,1139.611854
Isle of Man,
India,2009.978857
Not classified,
Ireland,78806.432
Iran,
Iraq,5834.166211
Iceland,73191.11632
Israel,41715.02928
Italy,34483.204
Jamaica,5354.236859
Jordan,4241.788782
Japan,39289.95843
Kazakhstan,9812.601137
Kenya,1710.510097
Kyrgyzstan,1281.363661
Cambodia,1510.324871
Kiribati,1625.2861
Saint Kitts and Nevis,19275.41851
"Korea, South",31362.75147
Kuwait,33994.40657
Latin America & Caribbean (excluding high income),8546.019022
Laos,2542.486528
Lebanon,8269.787676
Liberia,677.3221785
Libya,7241.704481
Saint Lucia,10566.04975
Latin America & Caribbean,9044.215879
Least developed countries: UN classification,1054.451499
Low income,833.8758761
Liechtenstein,
Sri Lanka,4102.48135
Lower middle income,2217.093928
Low & middle income,4971.148677
Lesotho,1299.153126
Late-demographic dividend,9692.652769
Lithuania,19153.40899
Luxembourg,116639.888
Latvia,17860.6172
"Macao SAR, China",87208.53591
Saint Martin (French part),
Morocco,3237.883368
Monaco,185741.28
Moldova,3227.312192
Madagascar,527.501285
Maldives,10330.61561
Middle East & North Africa,8042.849465
Mexico,9673.443674
Marshall Islands,3788.163594
Middle income,5485.469165
North Macedonia,6083.718948
Mali,899.6599081
Malta,30098.28331
Burma,1325.952924
Middle East & North Africa (excluding high income),
Montenegro,8844.236985
Mongolia,4121.732435
Northern Mariana Islands,23258.67586
Mozambique,498.9572202
Mauritania,1188.834588
Mauritius,11238.69039
Malawi,389.3980332
Malaysia,11373.233
North America,61117.04837
Namibia,5931.453886
New Caledonia,
Niger,413.980305
Nigeria,2028.18197
Nicaragua,2028.894755
Netherlands,53024.05921
Norway,81697.24598
Nepal,1033.912431
Nauru,9888.893597
